name                            ,protocol,OI   ,OS   ,OD   ,I  ,S  ,D  ,TP     ,FP    ,UP,TN     ,FN     ,UN
a3bbaba745fbded23fc3217df906cff5,UDP     ,6    ,1    ,101  ,6  ,1  ,101,1572467,0     ,0 ,3135266,0      ,4
a3d5d0f2572b7fb2a02abca870483b31,TCP     ,11084,10180,1    ,143,813,1  ,8577241,13137 ,6 ,1454461,3916   ,4
a3e78a6e687223edf712320712686ab2,UDP     ,27   ,1    ,27   ,27 ,1  ,27 ,2704564,0     ,0 ,2302332,54685  ,31
a5554cdb360aa6c386bae7656fc8a26c,TCP     ,719  ,21050,1    ,595,53 ,1  ,0      ,0     ,0 ,0      ,0      ,0
a5b44e6c2ef7bebaf6b1d1d9e069ecac,TCP     ,31780,25188,1    ,657,12 ,1  ,6905387,10235 ,0 ,1181989,423    ,3
a60c98fd7a78dfdcded33d10dd889e2e,UDP     ,8    ,1    ,124  ,8  ,1  ,124,3320622,0     ,0 ,3104285,0      ,14
a89b7e2b2c68423fb5a2cd59bb938ea8,UDP     ,153  ,1    ,985  ,153,1  ,787,201660 ,0     ,0 ,3135266,909286 ,25
a8fa7478dc84619cc3ff106a04363c00,UDP     ,168  ,1    ,986  ,168,1  ,777,210755 ,0     ,0 ,3135266,937405 ,7
aa4011f67afcc6a316c24436d1d5a9b0,TCP     ,12259,11162,1    ,160,746,1  ,5999806,9671  ,2 ,1088397,499    ,4
aa55c194d1ddc55231c1862ef6c54971,TCP     ,23791,19987,1    ,876,90 ,1  ,8825417,13305 ,0 ,1510881,0      ,4
ab36cf8007f4a0ca03195d92db11d846,TCP     ,19254,16700,1    ,290,211,1  ,8665589,12607 ,5 ,1437273,911    ,10
